id,de,fr,it,en
App-About,Informationen,Informations,Informazioni,Information
App-Lang,Sprache,Langue,Lingua,Language
App-Share,Teilen,Partager,Condividere,Share
App-Warning,"Sie verwenden einen veralteten Browser. Um die website in vollem Umfang nutzen zu können, empfehlen wir Ihnen, einen neueren Browser zu installieren.","Vous utilisez un navigateur trop ancien. Pour utiliser toute les possibilités de ce site web, nous vous conseillons d'installer un navigateur plus récent.","Si sta utilizzando un browser non completamente supportato. Per sfruttare appieno le funzionalità di questo sito web, consigliamo di installare un browser più recente",You are using an outdated browser. Please upgrade your browser to improve your experience.
Finish-Email,E-mail,e-mail,e-mail,E-mail
Finish-Like,Like,Like,Mi piace,Like
Finish-Restart,Neustart,Nouvelle partie,Nuova partita,New Game
Finish-Text,Teilen Sie Ihr Endergebnis von __score__,Partagez votre résultat de __score__,Condivida il suo risultato finale di __score__,Share your score of __score__
Finish-Tweet,Tweet,Tweet,Tweet,Tweet
Game-Close,Beenden,Fermer,Chiudere,Close
Game-Confirm,Bestätige Schätzung,Confirme ton estimation,Confermare,Confirm guess
Game-Guess,Rate,Devine,Stimare la posizione,Make a guess
Game-Start,Start,Start,Start,Start
Head-BAR,Bundesamt für Landestopografie swisstopo,Office fédéral de topographie swisstopo,Ufficio federale di topografia swisstopo,Federal Office of Topography swisstopo
Link-BAR,http://www.swisstopo.admin.ch/internet/swisstopo/de/home.html,http://www.swisstopo.admin.ch/internet/swisstopo/fr/home.html,http://www.swisstopo.admin.ch/internet/swisstopo/it/home.html,http://www.swisstopo.admin.ch/internet/swisstopo/en/home.html
Head-CH,Bundesverwaltung admin.ch,Administration fédérale admin.ch,Amministrazione federale admin.ch,Federal Administration admin.ch
Head-EDI,Eidgenössisches Department für Verteidigung Bevölkerungsschutz und Sport,"Département fédéral de la défense, de la protection de la population et des sports","Dipartimento federale della difesa, della protezione della popolazione e dello sport","Federal Department of Defence, Civil Protection and Sport"
Link-EDI,http://www.edi.admin.ch/?lang=de,http://www.edi.admin.ch/?lang=fr,http://www.edi.admin.ch/?lang=it,http://www.edi.admin.ch/?lang=en
Photo-Copyright,© swisstopo,© swisstopo,© swisstopo,© swisstopo
Photo-Copyright-Link,http://map.lubis.admin.ch/,http://map.lubis.admin.ch/,http://map.lubis.admin.ch/,http://map.lubis.admin.ch/
Photo-Counter,Foto,Photo,Foto,Photo
Photo-Restart,Neustart,Nouvelle partie,Nuova partita,Restart game
Photo-Text,Welchen Ort zeigt dieses Bild? Klick in die Karte.,De quel lieu s'agit-il? Clique sur la carte.,Di che luogo si tratta? Clicca sulla carta.,Which place do you think the photograph shows? Click anywhere on the map.
Result-1,Mehr Glück beim nächsten Mal....,Plus de chance la prochaine fois...,Sarà più fortunato la prossima volta ...,Better luck next time...
Result-2,Gut gemacht.,Bien joué.,Perfetto.,Well done.
Result-3,Exzellent!,Excellent!,Eccellente !,Excellent!
Result-Continue,Weiter,Continue,Continuare,Continue
Result-From,von der korrekten Position und erhalte,de la position correcte et obtiens,dalla posizione esatta. Ottiene,from the correct location and got
Result-Points,Punkte.,points.,punti.,points.
Result-Score,Letztes Ergebnis,Dernier résultat,Risultato finale,Last round score:
Result-Total,Total,Total,Totale,Total
Share-Message,Ich habe __score__ Punkte auf SwissGuesser gemacht! Schaffst du mehr?,J'ai réalisé un total de __score__ points sur SwissGuesser! Es-tu capable de faire mieux?,Ho ottenuto un risultato di __score__ points su SwissGuesser! Riesci a superarmi?,I just scored __score__ playing SwissGuesser! Can you top it?
Start-Copyright,Copyright und Datenschutzerklärung,Conditions d'utilisation,Copyright e protezione dei diritti d'autore,Copyright and Data protection
Start-Credit,Umgesetzt mit,Réalisé avec,Realizzato con,Realized with
Start-Loading,"Bitte warten, laden ...",Veuillez patienter pendant le chargement...,Attendere il caricamento ...,"Please wait, loading ..."
Start-Text,"320`000  <a href="" http://map.lubis.admin.ch"">Luftbilder</a> , welche swisstopo von 1927 bis heute im Rahmen der Erfassung des topographischen Landschaftsmodells swissTLM<sup>3D</sup>, der Nachführung der Landeskarte sowie zur Produktion des Orthofotomosaiks SWISSIMAGE von der ganzen Schweiz erstellt hat, sind online verfügbar.                                                                                     Finden Sie das Zentrum des historischen Luftbildes auf der Karte?","320`000  <a href="" http://map.lubis.admin.ch"">photographies aériennes</a> ,  réalisées par swisstopo entre 1927 et aujourd'hui pour toute la Suisse dans le cadre de l'établissement du modèle topographique du paysage swissTLM<sup>3D</sup>, de la mise à jour de la carte nationale ainsi que de la production de la mosaïque d’orthophotos SWISSIMAGE, sont maintenant à disposition en ligne.
Trouvez-vous le centre de la photographie aérienne historique sur la carte?","320`000 <a href=""http://map.lubis.admin.ch"">immagini aeree</a>, realizzate da swisstopo su tutta la Svizzera a partire dal 1927 per l'aggiornamento della carta nazionale ed inseguito nell'ambito della definizione del modello topografico del paesaggio swissTLM<sup>3D</sup> e della produzione delle ortofoto SWISSIMAGE, sono attualmente disponibili online. Riesce ad individuare il centro dell'immagine storica sulla mappa? ","320`000  <a href="" http://map.lubis.admin.ch"">aerial photographs</a> are now available online. They have been generated by swisstopo from 1927 until today for all of Switzerland in the context of the topographic landscape model swissTLM<sup>3D</sup>, for the update of the national maps as well as for the production of the orthophoto mosaic SWISSIMAGE. Are you able to find the center of the historic aerial photograph on the map?"
Start-Title,SwissGuesser: Historische Luftbilder,Swiss Guesser: Photographies aériennes historiques ,Swiss Guesser: Immagini aeree storiche,SwissGuesser: historic aerial photographs
Toggle-Map,Karte,Carte,Mappa,Map
Toggle-Photo,Foto,Photo,Foto,Photo
